Universidade	ODS	Indicador	Ano	Valor	Overall	Percentil_ranking_metrica
Universidade Federal Fluminense	ODS 11	Output in Top 10% Journals (THE) Median	2022	2	6	
Universidade Federal Fluminense	ODS 11	Output in Top 10% Journals (THE) Median	2023	2	6	
Universidade Federal Fluminense	ODS 11	Scholarly Output (THE)	2019	56	327	91st
Universidade Federal Fluminense	ODS 11	Scholarly Output (THE)	2020	77	327	91st
Universidade Federal Fluminense	ODS 11	Scholarly Output (THE)	2021	67	327	91st
Universidade Federal Fluminense	ODS 11	Scholarly Output (THE)	2022	66	327	91st
Universidade Federal Fluminense	ODS 11	Scholarly Output (THE)	2023	61	327	91st
Universidade Federal Fluminense	ODS 11	Scholarly Output (THE) Median	2019	9	44	
Universidade Federal Fluminense	ODS 11	Scholarly Output (THE) Median	2020	9	44	
Universidade Federal Fluminense	ODS 11	Scholarly Output (THE) Median	2021	12	44	
Universidade Federal Fluminense	ODS 11	Scholarly Output (THE) Median	2022	13	44	
Universidade Federal Fluminense	ODS 11	Scholarly Output (THE) Median	2023	14	44	
Universidade Federal Fluminense	ODS 12	Field-Weighted Citation Impact - 5 Year (THE)	2019	1.38	1.11	41st
Universidade Federal Fluminense	ODS 12	Field-Weighted Citation Impact - 5 Year (THE)	2020	1.38	1.11	41st
Universidade Federal Fluminense	ODS 12	Field-Weighted Citation Impact - 5 Year (THE)	2021	0.91	1.11	41st
Universidade Federal Fluminense	ODS 12	Field-Weighted Citation Impact - 5 Year (THE)	2022	1.06	1.11	41st
Universidade Federal Fluminense	ODS 12	Field-Weighted Citation Impact - 5 Year (THE)	2023	0.96	1.11	41st
Universidade Federal Fluminense	ODS 12	Field-Weighted Citation Impact - 5 Year (THE) Median	2019	1.21	1.41	
Universidade Federal Fluminense	ODS 12	Field-Weighted Citation Impact - 5 Year (THE) Median	2020	1.33	1.41	
Universidade Federal Fluminense	ODS 12	Field-Weighted Citation Impact - 5 Year (THE) Median	2021	1.31	1.41	
Universidade Federal Fluminense	ODS 12	Field-Weighted Citation Impact - 5 Year (THE) Median	2022	1.33	1.41	
Universidade Federal Fluminense	ODS 12	Field-Weighted Citation Impact - 5 Year (THE) Median	2023	1.3	1.41	
Universidade Federal Fluminense	ODS 12	Output in Top 10% Journals (THE)	2019	16	88	91st
Universidade Federal Fluminense	ODS 12	Output in Top 10% Journals (THE)	2020	18	88	91st
Universidade Federal Fluminense	ODS 12	Output in Top 10% Journals (THE)	2021	26	88	91st
Universidade Federal Fluminense	ODS 12	Output in Top 10% Journals (THE)	2022	17	88	91st
Universidade Federal Fluminense	ODS 12	Output in Top 10% Journals (THE)	2023	11	88	91st
Universidade Federal Fluminense	ODS 12	Output in Top 10% Journals (THE) Median	2019	1	7	
Universidade Federal Fluminense	ODS 12	Output in Top 10% Journals (THE) Median	2020	2	7	
Universidade Federal Fluminense	ODS 12	Output in Top 10% Journals (THE) Median	2021	2	7	
Universidade Federal Fluminense	ODS 12	Output in Top 10% Journals (THE) Median	2022	2	7	
Universidade Federal Fluminense	ODS 12	Output in Top 10% Journals (THE) Median	2023	2	7	
Universidade Federal Fluminense	ODS 12	Scholarly Output (THE)	2019	47	335	94th
Universidade Federal Fluminense	ODS 12	Scholarly Output (THE)	2020	67	335	94th
Universidade Federal Fluminense	ODS 12	Scholarly Output (THE)	2021	89	335	94th
Universidade Federal Fluminense	ODS 12	Scholarly Output (THE)	2022	79	335	94th
Universidade Federal Fluminense	ODS 12	Scholarly Output (THE)	2023	53	335	94th
Universidade Federal Fluminense	ODS 12	Scholarly Output (THE) Median	2019	7	39	
Universidade Federal Fluminense	ODS 12	Scholarly Output (THE) Median	2020	8	39	
Universidade Federal Fluminense	ODS 12	Scholarly Output (THE) Median	2021	10	39	
Universidade Federal Fluminense	ODS 12	Scholarly Output (THE) Median	2022	11	39	
Universidade Federal Fluminense	ODS 12	Scholarly Output (THE) Median	2023	13	39	
Universidade Federal Fluminense	ODS 13	Field-Weighted Citation Impact - 5 Year (THE)	2019	1.03	1.14	40th
Universidade Federal Fluminense	ODS 13	Field-Weighted Citation Impact - 5 Year (THE)	2020	1.45	1.14	40th
Universidade Federal Fluminense	ODS 13	Field-Weighted Citation Impact - 5 Year (THE)	2021	1.5	1.14	40th
Universidade Federal Fluminense	ODS 13	Field-Weighted Citation Impact - 5 Year (THE)	2022	0.99	1.14	40th
Universidade Federal Fluminense	ODS 13	Field-Weighted Citation Impact - 5 Year (THE)	2023	0.73	1.14	40th
Universidade Federal Fluminense	ODS 13	Field-Weighted Citation Impact - 5 Year (THE) Median	2019	1.35	1.5	
Universidade Federal Fluminense	ODS 13	Field-Weighted Citation Impact - 5 Year (THE) Median	2020	1.41	1.5	
Universidade Federal Fluminense	ODS 13	Field-Weighted Citation Impact - 5 Year (THE) Median	2021	1.42	1.5	
Universidade Federal Fluminense	ODS 13	Field-Weighted Citation Impact - 5 Year (THE) Median	2022	1.45	1.5	
Universidade Federal Fluminense	ODS 13	Field-Weighted Citation Impact - 5 Year (THE) Median	2023	1.42	1.5	
Universidade Federal Fluminense	ODS 13	Output in Top 10% Journals (THE)	2019	8	82	88th
Universidade Federal Fluminense	ODS 13	Output in Top 10% Journals (THE)	2020	14	82	88th
Universidade Federal Fluminense	ODS 13	Output in Top 10% Journals (THE)	2021	22	82	88th
Universidade Federal Fluminense	ODS 13	Output in Top 10% Journals (THE)	2022	26	82	88th
Universidade Federal Fluminense	ODS 13	Output in Top 10% Journals (THE)	2023	12	82	88th
Universidade Federal Fluminense	ODS 13	Output in Top 10% Journals (THE) Median	2019	2	7	
Universidade Federal Fluminense	ODS 13	Output in Top 10% Journals (THE) Median	2020	2	7	
Universidade Federal Fluminense	ODS 13	Output in Top 10% Journals (THE) Median	2021	2	7	
Universidade Federal Fluminense	ODS 13	Output in Top 10% Journals (THE) Median	2022	2	7	
Universidade Federal Fluminense	ODS 13	Output in Top 10% Journals (THE) Median	2023	3	7	
Universidade Federal Fluminense	ODS 13	Scholarly Output (THE)	2019	41	272	90th
Universidade Federal Fluminense	ODS 13	Scholarly Output (THE)	2020	43	272	90th
Universidade Federal Fluminense	ODS 13	Scholarly Output (THE)	2021	65	272	90th
Universidade Federal Fluminense	ODS 13	Scholarly Output (THE)	2022	74	272	90th
Universidade Federal Fluminense	ODS 13	Scholarly Output (THE)	2023	49	272	90th
Universidade Federal Fluminense	ODS 13	Scholarly Output (THE) Median	2019	7	34	
Universidade Federal Fluminense	ODS 13	Scholarly Output (THE) Median	2020	8	34	
Universidade Federal Fluminense	ODS 13	Scholarly Output (THE) Median	2021	10	34	
Universidade Federal Fluminense	ODS 13	Scholarly Output (THE) Median	2022	11	34	
Universidade Federal Fluminense	ODS 13	Scholarly Output (THE) Median	2023	13	34	
Universidade Federal Fluminense	ODS 14	Field-Weighted Citation Impact - 5 Year (THE)	2019	1.48	1.1	59th
Universidade Federal Fluminense	ODS 14	Field-Weighted Citation Impact - 5 Year (THE)	2020	1.01	1.1	59th
Universidade Federal Fluminense	ODS 14	Field-Weighted Citation Impact - 5 Year (THE)	2021	1.34	1.1	59th
Universidade Federal Fluminense	ODS 14	Field-Weighted Citation Impact - 5 Year (THE)	2022	0.88	1.1	59th
Universidade Federal Fluminense	ODS 14	Field-Weighted Citation Impact - 5 Year (THE)	2023	0.87	1.1	59th
Universidade Federal Fluminense	ODS 14	Field-Weighted Citation Impact - 5 Year (THE) Median	2019	1.1	1.13	
Universidade Federal Fluminense	ODS 14	Field-Weighted Citation Impact - 5 Year (THE) Median	2020	1.08	1.13	
Universidade Federal Fluminense	ODS 14	Field-Weighted Citation Impact - 5 Year (THE) Median	2021	1.11	1.13	
Universidade Federal Fluminense	ODS 14	Field-Weighted Citation Impact - 5 Year (THE) Median	2022	1.07	1.13	
Universidade Federal Fluminense	ODS 14	Field-Weighted Citation Impact - 5 Year (THE) Median	2023	1.04	1.13	
Universidade Federal Fluminense	ODS 14	Output in Top 10% Journals (THE)	2019	24	138	97th
Universidade Federal Fluminense	ODS 14	Output in Top 10% Journals (THE)	2020	26	138	97th
Universidade Federal Fluminense	ODS 14	Output in Top 10% Journals (THE)	2021	30	138	97th
Universidade Federal Fluminense	ODS 14	Output in Top 10% Journals (THE)	2022	34	138	97th
Universidade Federal Fluminense	ODS 14	Output in Top 10% Journals (THE)	2023	24	138	97th
Universidade Federal Fluminense	ODS 14	Output in Top 10% Journals (THE) Median	2019	1	3	
Universidade Federal Fluminense	ODS 14	Output in Top 10% Journals (THE) Median	2020	1	3	
Universidade Federal Fluminense	ODS 14	Output in Top 10% Journals (THE) Median	2021	2	3	
Universidade Federal Fluminense	ODS 14	Output in Top 10% Journals (THE) Median	2022	2	3	
Universidade Federal Fluminense	ODS 14	Output in Top 10% Journals (THE) Median	2023	1	3	
Universidade Federal Fluminense	ODS 14	Scholarly Output (THE)	2019	61	375	98th
Universidade Federal Fluminense	ODS 14	Scholarly Output (THE)	2020	68	375	98th
Universidade Federal Fluminense	ODS 14	Scholarly Output (THE)	2021	86	375	98th
Universidade Federal Fluminense	ODS 14	Scholarly Output (THE)	2022	86	375	98th
Universidade Federal Fluminense	ODS 14	Scholarly Output (THE)	2023	74	375	98th
Universidade Federal Fluminense	ODS 14	Scholarly Output (THE) Median	2019	5	15	
Universidade Federal Fluminense	ODS 14	Scholarly Output (THE) Median	2020	6	15	
Universidade Federal Fluminense	ODS 14	Scholarly Output (THE) Median	2021	6	15	
Universidade Federal Fluminense	ODS 14	Scholarly Output (THE) Median	2022	6	15	
Universidade Federal Fluminense	ODS 14	Scholarly Output (THE) Median	2023	6	15	
Universidade Federal Fluminense	ODS 15	Field-Weighted Citation Impact - 5 Year (THE)	2019	0.68	1.4	67th
Universidade Federal Fluminense	ODS 15	Field-Weighted Citation Impact - 5 Year (THE)	2020	2.39	1.4	67th
Universidade Federal Fluminense	ODS 15	Field-Weighted Citation Impact - 5 Year (THE)	2021	1.63	1.4	67th
Universidade Federal Fluminense	ODS 15	Field-Weighted Citation Impact - 5 Year (THE)	2022	0.69	1.4	67th
Universidade Federal Fluminense	ODS 15	Field-Weighted Citation Impact - 5 Year (THE)	2023	1.73	1.4	67th
Universidade Federal Fluminense	ODS 15	Field-Weighted Citation Impact - 5 Year (THE) Median	2019	1.04	1.2	
Universidade Federal Fluminense	ODS 15	Field-Weighted Citation Impact - 5 Year (THE) Median	2020	1.07	1.2	
Universidade Federal Fluminense	ODS 15	Field-Weighted Citation Impact - 5 Year (THE) Median	2021	1.14	1.2	
Universidade Federal Fluminense	ODS 15	Field-Weighted Citation Impact - 5 Year (THE) Median	2022	1.11	1.2	
Universidade Federal Fluminense	ODS 15	Field-Weighted Citation Impact - 5 Year (THE) Median	2023	1.16	1.2	
Universidade Federal Fluminense	ODS 15	Output in Top 10% Journals (THE)	2019	4	50	88th
Universidade Federal Fluminense	ODS 15	Output in Top 10% Journals (THE)	2020	11	50	88th
Universidade Federal Fluminense	ODS 15	Output in Top 10% Journals (THE)	2021	15	50	88th
Universidade Federal Fluminense	ODS 15	Output in Top 10% Journals (THE)	2022	10	50	88th
Universidade Federal Fluminense	ODS 15	Output in Top 10% Journals (THE)	2023	10	50	88th
Universidade Federal Fluminense	ODS 15	Output in Top 10% Journals (THE) Median	2019	1	4	
Universidade Federal Fluminense	ODS 15	Output in Top 10% Journals (THE) Median	2020	1	4	
Universidade Federal Fluminense	ODS 15	Output in Top 10% Journals (THE) Median	2021	2	4	
Universidade Federal Fluminense	ODS 15	Output in Top 10% Journals (THE) Median	2022	1	4	
Universidade Federal Fluminense	ODS 15	Output in Top 10% Journals (THE) Median	2023	1	4	
Universidade Federal Fluminense	ODS 15	Scholarly Output (THE)	2019	34	195	90th
Universidade Federal Fluminense	ODS 15	Scholarly Output (THE)	2020	34	195	90th
Universidade Federal Fluminense	ODS 15	Scholarly Output (THE)	2021	40	195	90th
Universidade Federal Fluminense	ODS 15	Scholarly Output (THE)	2022	46	195	90th
Universidade Federal Fluminense	ODS 15	Scholarly Output (THE)	2023	41	195	90th
Universidade Federal Fluminense	ODS 15	Scholarly Output (THE) Median	2019	6	21	
Universidade Federal Fluminense	ODS 15	Scholarly Output (THE) Median	2020	6	21	
Universidade Federal Fluminense	ODS 15	Scholarly Output (THE) Median	2021	7	21	
Universidade Federal Fluminense	ODS 15	Scholarly Output (THE) Median	2022	7	21	
Universidade Federal Fluminense	ODS 15	Scholarly Output (THE) Median	2023	7	21	
Universidade Federal Fluminense	ODS 16	Field-Weighted Citation Impact - 5 Year (THE)	2019	0.59	0.75	45th
Universidade Federal Fluminense	ODS 16	Field-Weighted Citation Impact - 5 Year (THE)	2020	0.53	0.75	45th
Universidade Federal Fluminense	ODS 16	Field-Weighted Citation Impact - 5 Year (THE)	2021	1.57	0.75	45th
Universidade Federal Fluminense	ODS 16	Field-Weighted Citation Impact - 5 Year (THE)	2022	0.46	0.75	45th
Universidade Federal Fluminense	ODS 16	Field-Weighted Citation Impact - 5 Year (THE)	2023	0.29	0.75	45th
Universidade Federal Fluminense	ODS 16	Field-Weighted Citation Impact - 5 Year (THE) Median	2019	0.86	1.01	
Universidade Federal Fluminense	ODS 16	Field-Weighted Citation Impact - 5 Year (THE) Median	2020	0.96	1.01	
Universidade Federal Fluminense	ODS 16	Field-Weighted Citation Impact - 5 Year (THE) Median	2021	0.91	1.01	
Universidade Federal Fluminense	ODS 16	Field-Weighted Citation Impact - 5 Year (THE) Median	2022	0.92	1.01	
Universidade Federal Fluminense	ODS 16	Field-Weighted Citation Impact - 5 Year (THE) Median	2023	0.87	1.01	
Universidade Federal Fluminense	ODS 16	Output in Top 10% Journals (THE)	2019	2	18	85th
Universidade Federal Fluminense	ODS 16	Output in Top 10% Journals (THE)	2020	3	18	85th
Universidade Federal Fluminense	ODS 16	Output in Top 10% Journals (THE)	2021	5	18	85th
Universidade Federal Fluminense	ODS 16	Output in Top 10% Journals (THE)	2022	7	18	85th
Universidade Federal Fluminense	ODS 16	Output in Top 10% Journals (THE)	2023	1	18	85th
Universidade Federal Fluminense	ODS 16	Output in Top 10% Journals (THE) Median	2019	1	2	
Universidade Federal Fluminense	ODS 16	Output in Top 10% Journals (THE) Median	2020	1	2	
Universidade Federal Fluminense	ODS 16	Output in Top 10% Journals (THE) Median	2021	1	2	
Universidade Federal Fluminense	ODS 16	Output in Top 10% Journals (THE) Median	2022	1	2	
Universidade Federal Fluminense	ODS 16	Output in Top 10% Journals (THE) Median	2023	1	2	
Universidade Federal Fluminense	ODS 16	Scholarly Output (THE)	2019	27	207	91st
Universidade Federal Fluminense	ODS 16	Scholarly Output (THE)	2020	34	207	91st
Universidade Federal Fluminense	ODS 16	Scholarly Output (THE)	2021	56	207	91st
Universidade Federal Fluminense	ODS 16	Scholarly Output (THE)	2022	51	207	91st
Universidade Federal Fluminense	ODS 16	Scholarly Output (THE)	2023	39	207	91st
Universidade Federal Fluminense	ODS 16	Scholarly Output (THE) Median	2019	5	18	
Universidade Federal Fluminense	ODS 16	Scholarly Output (THE) Median	2020	5	18	
Universidade Federal Fluminense	ODS 16	Scholarly Output (THE) Median	2021	6	18	
Universidade Federal Fluminense	ODS 16	Scholarly Output (THE) Median	2022	6	18	
Universidade Federal Fluminense	ODS 16	Scholarly Output (THE) Median	2023	7	18	
Universidade Federal Fluminense	ODS 17	Co-authorship with Low or Lower-middle Income Countries (THE)	2019	0.017	0.023	18th
Universidade Federal Fluminense	ODS 17	Co-authorship with Low or Lower-middle Income Countries (THE)	2020	0.013	0.023	18th
Universidade Federal Fluminense	ODS 17	Co-authorship with Low or Lower-middle Income Countries (THE)	2021	0.021	0.023	18th
Universidade Federal Fluminense	ODS 17	Co-authorship with Low or Lower-middle Income Countries (THE)	2022	0.032	0.023	18th
Universidade Federal Fluminense	ODS 17	Co-authorship with Low or Lower-middle Income Countries (THE)	2023	0.03	0.023	18th
Universidade Federal Fluminense	ODS 17	Co-authorship with Low or Lower-middle Income Countries (THE) Median	2019	0.034	0.071	
Universidade Federal Fluminense	ODS 17	Co-authorship with Low or Lower-middle Income Countries (THE) Median	2020	0.051	0.071	
Universidade Federal Fluminense	ODS 17	Co-authorship with Low or Lower-middle Income Countries (THE) Median	2021	0.064	0.071	
Universidade Federal Fluminense	ODS 17	Co-authorship with Low or Lower-middle Income Countries (THE) Median	2022	0.08	0.071	
Universidade Federal Fluminense	ODS 17	Co-authorship with Low or Lower-middle Income Countries (THE) Median	2023	0.082	0.071	
Universidade Federal Fluminense	ODS 17	Scholarly Output (THE)	2019	582	4024	89th
Universidade Federal Fluminense	ODS 17	Scholarly Output (THE)	2020	840	4024	89th
Universidade Federal Fluminense	ODS 17	Scholarly Output (THE)	2021	991	4024	89th
Universidade Federal Fluminense	ODS 17	Scholarly Output (THE)	2022	834	4024	89th
Universidade Federal Fluminense	ODS 17	Scholarly Output (THE)	2023	777	4024	89th
Universidade Federal Fluminense	ODS 17	Scholarly Output (THE) Median	2019	73	507	
Universidade Federal Fluminense	ODS 17	Scholarly Output (THE) Median	2020	94	507	
Universidade Federal Fluminense	ODS 17	Scholarly Output (THE) Median	2021	117	507	
Universidade Federal Fluminense	ODS 17	Scholarly Output (THE) Median	2022	130	507	
Universidade Federal Fluminense	ODS 17	Scholarly Output (THE) Median	2023	142	507	
Universidade Federal de Santa Maria	ODS 1	Co-authorship with Low or Lower-middle Income Countries (THE)	2019	0	0.04	60th
Universidade Federal de Santa Maria	ODS 1	Co-authorship with Low or Lower-middle Income Countries (THE)	2020	0	0.04	60th
Universidade Federal de Santa Maria	ODS 1	Co-authorship with Low or Lower-middle Income Countries (THE)	2021	0	0.04	60th
Universidade Federal de Santa Maria	ODS 1	Co-authorship with Low or Lower-middle Income Countries (THE)	2022	0.125	0.04	60th
Universidade Federal de Santa Maria	ODS 1	Co-authorship with Low or Lower-middle Income Countries (THE)	2023	0	0.04	60th
Universidade Federal de Santa Maria	ODS 1	Co-authorship with Low or Lower-middle Income Countries (THE) Median	2019	0	0.043	
Universidade Federal de Santa Maria	ODS 1	Co-authorship with Low or Lower-middle Income Countries (THE) Median	2020	0	0.043	
Universidade Federal de Santa Maria	ODS 1	Co-authorship with Low or Lower-middle Income Countries (THE) Median	2021	0	0.043	
Universidade Federal de Santa Maria	ODS 1	Co-authorship with Low or Lower-middle Income Countries (THE) Median	2022	0	0.043	
Universidade Federal de Santa Maria	ODS 1	Co-authorship with Low or Lower-middle Income Countries (THE) Median	2023	0	0.043	
Universidade Federal de Santa Maria	ODS 1	Field-Weighted Citation Impact - 5 Year (THE)	2019	0.06	0.83	52nd
Universidade Federal de Santa Maria	ODS 1	Field-Weighted Citation Impact - 5 Year (THE)	2020	0.43	0.83	52nd
Universidade Federal de Santa Maria	ODS 1	Field-Weighted Citation Impact - 5 Year (THE)	2021	1.4	0.83	52nd
Universidade Federal de Santa Maria	ODS 1	Field-Weighted Citation Impact - 5 Year (THE)	2022	1.17	0.83	52nd
Universidade Federal de Santa Maria	ODS 1	Field-Weighted Citation Impact - 5 Year (THE)	2023	0.32	0.83	52nd
Universidade Federal de Santa Maria	ODS 1	Field-Weighted Citation Impact - 5 Year (THE) Median	2019	0.78	1.01	
Universidade Federal de Santa Maria	ODS 1	Field-Weighted Citation Impact - 5 Year (THE) Median	2020	0.84	1.01	
Universidade Federal de Santa Maria	ODS 1	Field-Weighted Citation Impact - 5 Year (THE) Median	2021	0.95	1.01	
Universidade Federal de Santa Maria	ODS 1	Field-Weighted Citation Impact - 5 Year (THE) Median	2022	0.91	1.01	
Universidade Federal de Santa Maria	ODS 1	Field-Weighted Citation Impact - 5 Year (THE) Median	2023	0.93	1.01	
Universidade Federal de Santa Maria	ODS 1	Scholarly Output (THE)	2019	2	25	78th
Universidade Federal de Santa Maria	ODS 1	Scholarly Output (THE)	2020	1	25	78th
Universidade Federal de Santa Maria	ODS 1	Scholarly Output (THE)	2021	6	25	78th
Universidade Federal de Santa Maria	ODS 1	Scholarly Output (THE)	2022	8	25	78th
Universidade Federal de Santa Maria	ODS 1	Scholarly Output (THE)	2023	8	25	78th
Universidade Federal de Santa Maria	ODS 1	Scholarly Output (THE) Median	2019	3	10	
Universidade Federal de Santa Maria	ODS 1	Scholarly Output (THE) Median	2020	3	10	
Universidade Federal de Santa Maria	ODS 1	Scholarly Output (THE) Median	2021	3	10	
Universidade Federal de Santa Maria	ODS 1	Scholarly Output (THE) Median	2022	4	10	
Universidade Federal de Santa Maria	ODS 1	Scholarly Output (THE) Median	2023	4	10	
Universidade Federal de Santa Maria	ODS 2	Field-Weighted Citation Impact - 5 Year (THE)	2019	1.12	1.02	45th
Universidade Federal de Santa Maria	ODS 2	Field-Weighted Citation Impact - 5 Year (THE)	2020	1.35	1.02	45th
Universidade Federal de Santa Maria	ODS 2	Field-Weighted Citation Impact - 5 Year (THE)	2021	0.94	1.02	45th
Universidade Federal de Santa Maria	ODS 2	Field-Weighted Citation Impact - 5 Year (THE)	2022	0.92	1.02	45th
Universidade Federal de Santa Maria	ODS 2	Field-Weighted Citation Impact - 5 Year (THE)	2023	0.84	1.02	45th
Universidade Federal de Santa Maria	ODS 2	Field-Weighted Citation Impact - 5 Year (THE) Median	2019	1.18	1.3	
Universidade Federal de Santa Maria	ODS 2	Field-Weighted Citation Impact - 5 Year (THE) Median	2020	1.23	1.3	
Universidade Federal de Santa Maria	ODS 2	Field-Weighted Citation Impact - 5 Year (THE) Median	2021	1.19	1.3	
Universidade Federal de Santa Maria	ODS 2	Field-Weighted Citation Impact - 5 Year (THE) Median	2022	1.14	1.3	
Universidade Federal de Santa Maria	ODS 2	Field-Weighted Citation Impact - 5 Year (THE) Median	2023	1.15	1.3	
Universidade Federal de Santa Maria	ODS 2	Output in Top 10% Journals (THE)	2019	20	109	96th
Universidade Federal de Santa Maria	ODS 2	Output in Top 10% Journals (THE)	2020	22	109	96th
Universidade Federal de Santa Maria	ODS 2	Output in Top 10% Journals (THE)	2021	20	109	96th
Universidade Federal de Santa Maria	ODS 2	Output in Top 10% Journals (THE)	2022	22	109	96th
Universidade Federal de Santa Maria	ODS 2	Output in Top 10% Journals (THE)	2023	25	109	96th
Universidade Federal de Santa Maria	ODS 2	Output in Top 10% Journals (THE) Median	2019	1	3	
Universidade Federal de Santa Maria	ODS 2	Output in Top 10% Journals (THE) Median	2020	1	3	
Universidade Federal de Santa Maria	ODS 2	Output in Top 10% Journals (THE) Median	2021	1	3	
Universidade Federal de Santa Maria	ODS 2	Output in Top 10% Journals (THE) Median	2022	1	3	
Universidade Federal de Santa Maria	ODS 2	Output in Top 10% Journals (THE) Median	2023	1	3	
Universidade Federal de Santa Maria	ODS 2	Scholarly Output (THE)	2019	69	462	97th
Universidade Federal de Santa Maria	ODS 2	Scholarly Output (THE)	2020	91	462	97th
Universidade Federal de Santa Maria	ODS 2	Scholarly Output (THE)	2021	99	462	97th
Universidade Federal de Santa Maria	ODS 2	Scholarly Output (THE)	2022	98	462	97th
Universidade Federal de Santa Maria	ODS 2	Scholarly Output (THE)	2023	105	462	97th
Universidade Federal de Santa Maria	ODS 2	Scholarly Output (THE) Median	2019	5	23	
Universidade Federal de Santa Maria	ODS 2	Scholarly Output (THE) Median	2020	6	23	
Universidade Federal de Santa Maria	ODS 2	Scholarly Output (THE) Median	2021	7	23	
Universidade Federal de Santa Maria	ODS 2	Scholarly Output (THE) Median	2022	7	23	
Universidade Federal de Santa Maria	ODS 2	Scholarly Output (THE) Median	2023	8	23	
Universidade Federal de Santa Maria	ODS 3	Clinical Citations (THE)	2019	0	7	89th
Universidade Federal de Santa Maria	ODS 3	Clinical Citations (THE)	2020	1	7	89th
Universidade Federal de Santa Maria	ODS 3	Clinical Citations (THE)	2021	6	7	89th
Universidade Federal de Santa Maria	ODS 3	Clinical Citations (THE)	2022	0	7	89th
Universidade Federal de Santa Maria	ODS 3	Clinical Citations (THE)	2023	0	7	89th
Universidade Federal de Santa Maria	ODS 3	Clinical Citations (THE) Median	2019	3	5	
Universidade Federal de Santa Maria	ODS 3	Clinical Citations (THE) Median	2020	3	5	
Universidade Federal de Santa Maria	ODS 3	Clinical Citations (THE) Median	2021	2	5	
Universidade Federal de Santa Maria	ODS 3	Clinical Citations (THE) Median	2022	2	5	
Universidade Federal de Santa Maria	ODS 3	Clinical Citations (THE) Median	2023	2	5	
Universidade Federal de Santa Maria	ODS 3	Scholarly Output (THE)	2019	133	959	82nd
Universidade Federal de Santa Maria	ODS 3	Scholarly Output (THE)	2020	223	959	82nd
Universidade Federal de Santa Maria	ODS 3	Scholarly Output (THE)	2021	206	959	82nd
Universidade Federal de Santa Maria	ODS 3	Scholarly Output (THE)	2022	196	959	82nd
Universidade Federal de Santa Maria	ODS 3	Scholarly Output (THE)	2023	201	959	82nd
Universidade Federal de Santa Maria	ODS 3	Scholarly Output (THE) Median	2019	28	170	
Universidade Federal de Santa Maria	ODS 3	Scholarly Output (THE) Median	2020	37	170	
Universidade Federal de Santa Maria	ODS 3	Scholarly Output (THE) Median	2021	44	170	
Universidade Federal de Santa Maria	ODS 3	Scholarly Output (THE) Median	2022	51	170	
Universidade Federal de Santa Maria	ODS 3	Scholarly Output (THE) Median	2023	52	170	
Universidade Federal de Santa Maria	ODS 3	Views Count (THE)	2019	4331	26536	74th
Universidade Federal de Santa Maria	ODS 3	Views Count (THE)	2020	5718	26536	74th
Universidade Federal de Santa Maria	ODS 3	Views Count (THE)	2021	7725	26536	74th
Universidade Federal de Santa Maria	ODS 3	Views Count (THE)	2022	5192	26536	74th
Universidade Federal de Santa Maria	ODS 3	Views Count (THE)	2023	3570	26536	74th
Universidade Federal de Santa Maria	ODS 3	Views Count (THE) Median	2019	865	4757	
Universidade Federal de Santa Maria	ODS 3	Views Count (THE) Median	2020	1089	4757	
Universidade Federal de Santa Maria	ODS 3	Views Count (THE) Median	2021	1269	4757	
Universidade Federal de Santa Maria	ODS 3	Views Count (THE) Median	2022	1280	4757	
Universidade Federal de Santa Maria	ODS 3	Views Count (THE) Median	2023	1101	4757	
Universidade Federal de Santa Maria	ODS 4	Output in Top 10% Journals (THE)	2019	4	18	84th
Universidade Federal de Santa Maria	ODS 4	Output in Top 10% Journals (THE)	2020	1	18	84th
Universidade Federal de Santa Maria	ODS 4	Output in Top 10% Journals (THE)	2021	7	18	84th
Universidade Federal de Santa Maria	ODS 4	Output in Top 10% Journals (THE)	2022	3	18	84th
Universidade Federal de Santa Maria	ODS 4	Output in Top 10% Journals (THE)	2023	3	18	84th
Universidade Federal de Santa Maria	ODS 4	Output in Top 10% Journals (THE) Median	2019	1	3	
Universidade Federal de Santa Maria	ODS 4	Output in Top 10% Journals (THE) Median	2020	1	3	
Universidade Federal de Santa Maria	ODS 4	Output in Top 10% Journals (THE) Median	2021	1	3	
Universidade Federal de Santa Maria	ODS 4	Output in Top 10% Journals (THE) Median	2022	1	3	
Universidade Federal de Santa Maria	ODS 4	Output in Top 10% Journals (THE) Median	2023	1	3	
Universidade Federal de Santa Maria	ODS 4	Scholarly Output (THE)	2019	39	132	85th
Universidade Federal de Santa Maria	ODS 4	Scholarly Output (THE)	2020	17	132	85th
Universidade Federal de Santa Maria	ODS 4	Scholarly Output (THE)	2021	23	132	85th
Universidade Federal de Santa Maria	ODS 4	Scholarly Output (THE)	2022	16	132	85th
Universidade Federal de Santa Maria	ODS 4	Scholarly Output (THE)	2023	37	132	85th
Universidade Federal de Santa Maria	ODS 4	Scholarly Output (THE) Median	2019	6	27	
Universidade Federal de Santa Maria	ODS 4	Scholarly Output (THE) Median	2020	7	27	
Universidade Federal de Santa Maria	ODS 4	Scholarly Output (THE) Median	2021	8	27	
Universidade Federal de Santa Maria	ODS 4	Scholarly Output (THE) Median	2022	8	27	
Universidade Federal de Santa Maria	ODS 4	Scholarly Output (THE) Median	2023	9	27	
