Universidade	ODS	Indicador	Ano	Valor	Overall	Percentil_ranking_metrica
Universidade Federal Fluminense	ODS 2	Scholarly Output (THE)	2023	37	132	86th
Universidade Federal Fluminense	ODS 2	Scholarly Output (THE) Median	2019	5	23	
Universidade Federal Fluminense	ODS 2	Scholarly Output (THE) Median	2020	6	23	
Universidade Federal Fluminense	ODS 2	Scholarly Output (THE) Median	2021	7	23	
Universidade Federal Fluminense	ODS 2	Scholarly Output (THE) Median	2022	7	23	
Universidade Federal Fluminense	ODS 2	Scholarly Output (THE) Median	2023	8	23	
Universidade Federal Fluminense	ODS 3	Clinical Citations (THE)	2019	0	5	88th
Universidade Federal Fluminense	ODS 3	Clinical Citations (THE)	2020	3	5	88th
Universidade Federal Fluminense	ODS 3	Clinical Citations (THE)	2021	2	5	88th
Universidade Federal Fluminense	ODS 3	Clinical Citations (THE)	2022	0	5	88th
Universidade Federal Fluminense	ODS 3	Clinical Citations (THE)	2023	0	5	88th
Universidade Federal Fluminense	ODS 3	Clinical Citations (THE) Median	2019	3	5	
Universidade Federal Fluminense	ODS 3	Clinical Citations (THE) Median	2020	3	5	
Universidade Federal Fluminense	ODS 3	Clinical Citations (THE) Median	2021	2	5	
Universidade Federal Fluminense	ODS 3	Clinical Citations (THE) Median	2022	2	5	
Universidade Federal Fluminense	ODS 3	Clinical Citations (THE) Median	2023	2	5	
Universidade Federal Fluminense	ODS 3	Scholarly Output (THE)	2019	247	1884	89th
Universidade Federal Fluminense	ODS 3	Scholarly Output (THE)	2020	389	1884	89th
Universidade Federal Fluminense	ODS 3	Scholarly Output (THE)	2021	497	1884	89th
Universidade Federal Fluminense	ODS 3	Scholarly Output (THE)	2022	380	1884	89th
Universidade Federal Fluminense	ODS 3	Scholarly Output (THE)	2023	371	1884	89th
Universidade Federal Fluminense	ODS 3	Scholarly Output (THE) Median	2019	28	170	
Universidade Federal Fluminense	ODS 3	Scholarly Output (THE) Median	2020	37	170	
Universidade Federal Fluminense	ODS 3	Scholarly Output (THE) Median	2021	44	170	
Universidade Federal Fluminense	ODS 3	Scholarly Output (THE) Median	2022	51	170	
Universidade Federal Fluminense	ODS 3	Scholarly Output (THE) Median	2023	52	170	
Universidade Federal Fluminense	ODS 3	Views Count (THE)	2019	6309	42286	82nd
Universidade Federal Fluminense	ODS 3	Views Count (THE)	2020	8995	42286	82nd
Universidade Federal Fluminense	ODS 3	Views Count (THE)	2021	12521	42286	82nd
Universidade Federal Fluminense	ODS 3	Views Count (THE)	2022	8680	42286	82nd
Universidade Federal Fluminense	ODS 3	Views Count (THE)	2023	5781	42286	82nd
Universidade Federal Fluminense	ODS 3	Views Count (THE) Median	2019	865	4757	
Universidade Federal Fluminense	ODS 3	Views Count (THE) Median	2020	1089	4757	
Universidade Federal Fluminense	ODS 3	Views Count (THE) Median	2021	1269	4757	
Universidade Federal Fluminense	ODS 3	Views Count (THE) Median	2022	1280	4757	
Universidade Federal Fluminense	ODS 3	Views Count (THE) Median	2023	1101	4757	
Universidade Federal Fluminense	ODS 4	Output in Top 10% Journals (THE)	2019	6	26	88th
Universidade Federal Fluminense	ODS 4	Output in Top 10% Journals (THE)	2020	3	26	88th
Universidade Federal Fluminense	ODS 4	Output in Top 10% Journals (THE)	2021	7	26	88th
Universidade Federal Fluminense	ODS 4	Output in Top 10% Journals (THE)	2022	5	26	88th
Universidade Federal Fluminense	ODS 4	Output in Top 10% Journals (THE)	2023	5	26	88th
